Incident Number,Call Date/Time,Location,Incident Type,Dispositions
2016-00016585,03/21/2016 12:42:00 PM,ASHBY AVE / M L KING JR WAY,T,AM2TWN
2016-00016587,03/21/2016 12:47:00 PM,ADDISON ST / MCKINLEY AVE,T,AM4TCN
2016-00016590,03/21/2016 12:56:00 PM,M L KING JR WAY / UNIVERSITY AVE,T,BM4TCN
2016-00016653,03/21/2016 07:43:00 PM,COLLEGE AVE / RUSSELL ST,1194,M
2016-00016659,03/21/2016 08:20:00 PM,SHATTUCK AVE / HASTE ST,T,HM2TCN
2016-00016664,03/21/2016 09:05:00 PM,DWIGHT WAY / MATHEWS ST,T,BM3TWS
2016-00016668,03/21/2016 09:23:00 PM,MILVIA ST / ALLSTON WAY,T,OM2TCS
2016-00016669,03/21/2016 09:40:00 PM,SAN PABLO AVE / DWIGHT WAY,T,WM2TCN
2016-00016672,03/21/2016 10:03:00 PM,DURANT AVE / TELEGRAPH AVE,T,M
2016-00016675,03/21/2016 10:24:00 PM,2500 BLOCK BANCROFT WAY,1194,M
2016-00016676,03/21/2016 10:25:00 PM,SACRAMENTO ST / FAIRVIEW ST,T,HM2TCN
2016-00016681,03/21/2016 10:48:00 PM,DANA ST / DURANT AVE,1194,M
2016-00016683,03/21/2016 11:04:00 PM,NINTH ST / PARDEE ST,1194,"BM3WAS, P"
2016-00016684,03/21/2016 11:04:00 PM,TELEGRAPH AVE / PARKER ST,1194,M
2016-00016686,03/21/2016 11:25:00 PM,2500 BLOCK TELEGRAPH AVE,1194,M
2016-00016687,03/21/2016 11:26:00 PM,SHATTUCK AVE / DWIGHT WAY,T,P
2016-00016688,03/21/2016 11:28:00 PM,2700 BLOCK COLLEGE AVE,1194,"WM4IWN, M"
2016-00016691,03/21/2016 11:51:00 PM,CHANNING WAY / FULTON ST,T,OM2IWN
2016-00016695,03/22/2016 12:29:00 AM,UNIVERSITY AVE/BONITA,1194B,BM4TWS
2016-00016696,03/22/2016 12:38:00 AM,COLLEGE AVE/STUART ST,T,OM3TCN
2016-00016698,03/22/2016 12:53:00 AM,2700 BLOCK HASTE ST,T,M
2016-00016699,03/22/2016 01:27:00 AM,KING ST / ASHBY AVE,T,M
2016-00016730,03/22/2016 08:52:00 AM,CLAREMONT AVE / CLAREMONT CRES,T,WM3TCN
2016-00016732,03/22/2016 09:00:00 AM,CLAREMONT AVE / HAZEL RD,T,WF3TWN
2016-00016736,03/22/2016 09:21:00 AM,CLAREMONT AVE / HAZEL RD,T,WM4TCN
2016-00016742,03/22/2016 10:02:00 AM,SAN PABLO AVE / GRAYSON ST,T,AM3TCN
2016-00016744,03/22/2016 10:17:00 AM,SEVENTH ST / FOLGER AVE,T,OM4TCN
2016-00016745,03/22/2016 10:26:00 AM,NINTH ST / ASHBY AVE,T,WM2TCN
2016-00016746,03/22/2016 10:29:00 AM,UNIVERSITY AVE / NINTH ST,T,WM2TCN
2016-00016749,03/22/2016 10:45:00 AM,UNIVERSITY AVE / SAN PABLO AVE,T,OM2TCN
2016-00016750,03/22/2016 10:47:00 AM,UNIVERSITY AVE / CALIFORNIA ST,T,BF2TCN
2016-00016763,03/22/2016 11:45:00 AM,BERKELEY WAY / WALNUT ST,T,zz do not use Assist
2016-00016767,03/22/2016 12:20:00 PM,UNIVERSITY AVE / FIFTH ST,T,AM3TCN
2016-00016768,03/22/2016 12:22:00 PM,37.8693028530001~-122.272234021,1194,HM3RCN
2016-00016769,03/22/2016 12:25:00 PM,MURRAY ST / SEVENTH ST,T,WM4TCN
2016-00016776,03/22/2016 12:38:00 PM,SEVENTH ST / POTTER ST,T,WM2TWN
2016-00016777,03/22/2016 12:39:00 PM,UNIVERSITY AVE / SAN PABLO AVE,T,WM3TCN
2016-00016778,03/22/2016 12:45:00 PM,SEVENTH ST / HEINZ AVE,T,WM4TCN
2016-00016780,03/22/2016 12:52:00 PM,SEVENTH ST / PARDEE ST,T,WF4TCN
2016-00016782,03/22/2016 12:54:00 PM,UNIVERSITY AVE / CURTIS ST,T,WM3TCN
2016-00016786,03/22/2016 01:07:00 PM,HOLLIS ST / SIXTY-SIXTH ST,T,WF2TCN
2016-00016787,03/22/2016 01:07:00 PM,700 BLOCK FOLGER AVE,T,WM3TCN
2016-00016788,03/22/2016 01:10:00 PM,UNIVERSITY AVE / CURTIS ST,T,BF4TCN
2016-00016789,03/22/2016 01:21:00 PM,TELEGRAPH AVE / BLAKE ST,T,AF3TCN
2016-00016790,03/22/2016 01:21:00 PM,SIXTY-SEVENTH ST / HOLLIS ST,T,BF3TCN
2016-00016795,03/22/2016 01:30:00 PM,37.8480158410001~-122.300045143,T,OF4TCN
2016-00016803,03/22/2016 01:41:00 PM,MURRAY ST / NINTH ST,T,HM4TCN
2016-00016810,03/22/2016 02:08:00 PM,SHATTUCK AVE / PARKER ST,T,WM3TCN
2016-00016812,03/22/2016 02:20:00 PM,ASHBY AVE / DOMINGO AVE,T,WM4TCN
2016-00016813,03/22/2016 02:26:00 PM,SHATTUCK AVE / BLAKE ST,T,WF4TWN
2016-00016815,03/22/2016 02:37:00 PM,CLAREMONT AVE / ASHBY AVE,T,WM4TCN
2016-00016816,03/22/2016 02:44:00 PM,MILVIA ST / BLAKE ST,1194B,HM3TWN
2016-00016821,03/22/2016 02:58:00 PM,CLAREMONT CRES / ASHBY AVE,T,WM3TWN
2016-00016824,03/22/2016 03:09:00 PM,ASHBY AVE / CLAREMONT AVE,T,OF2TCN
2016-00016827,03/22/2016 03:37:00 PM,BANCROFT WAY / TELEGRAPH AVE,T,WF4TCN
2016-00016831,03/22/2016 04:09:00 PM,BANCROFT WAY / TELEGRAPH AVE,T,OM2TCN
2016-00016833,03/22/2016 04:20:00 PM,BANCROFT WAY / SHATTUCK AVE,T,BF4TCN
2016-00016843,03/22/2016 04:49:00 PM,ASHBY AVE / HARPER ST,1194B,WM3TCN
2016-00016844,03/22/2016 04:58:00 PM,SHATTUCK AVE / PARKER ST,T,M
2016-00016851,03/22/2016 05:42:00 PM,PARKER ST / TELEGRAPH AVE,1194,BM2ICS
2016-00016853,03/22/2016 05:53:00 PM,SEVENTH ST / FOLGER AVE,T,WM4TCN
2016-00016854,03/22/2016 05:54:00 PM,M L KING JR WAY / BERKELEY WAY,T,BF3TCN
2016-00016857,03/22/2016 06:14:00 PM,MONTEREY AVE / COLUSA AVE,T,WM3TWN
2016-00016883,03/22/2016 08:31:00 PM,SHATTUCK AVE / CENTER ST,T,AM4TWN
2016-00016905,03/22/2016 10:09:00 PM,SHATTUCK AVE / VINE ST,T,WF3TWN
2016-00016906,03/22/2016 10:13:00 PM,M L KING JR WAY / WARD ST,T,OM4TWN
2016-00016908,03/22/2016 10:14:00 PM,2500 BLOCK BANCROFT,1194,M
2016-00016909,03/22/2016 10:17:00 PM,M L KING JR WAY / BERRYMAN ST,T,WF4TWN
2016-00016932,03/23/2016 02:14:00 AM,THE ALAMED/SOLANO,T,WF3TWN
2016-00016937,03/23/2016 02:52:00 AM,SAN PABLO AVE/67TH ST,T,HM4TWN
2016-00016938,03/23/2016 02:56:00 AM,ADELINE ST / WARD ST,T,WF3TWS
2016-00016939,03/23/2016 03:14:00 AM,SIXTY-FIFTH ST / IDAHO ST,1196,"BM3TAS, P"
2016-00016942,03/23/2016 03:54:00 AM,OXF/CED,T,AM2TWN
2016-00016950,03/23/2016 06:58:00 AM,SOLANO AVE / COLUSA AVE,T,WM4TWN
2016-00016954,03/23/2016 07:19:00 AM,BLAKE ST / TELEGRAPH AVE,1194,WF4IWN
2016-00016963,03/23/2016 08:48:00 AM,CLAREMONT AVE / ASHBY AVE,T,WF4TCN
2016-00016966,03/23/2016 09:04:00 AM,CLAREMONT AVE / THE UPLANDS,T,AF4TCN
2016-00016971,03/23/2016 09:58:00 AM,SEVENTH ST / FOLGER AVE,T,WM3TCN
2016-00016972,03/23/2016 10:08:00 AM,SEVENTH ST / ASHBY AVE,T,BF4TCN
2016-00016974,03/23/2016 10:17:00 AM,ASHBY AVE / SEVENTH ST,T,WM3TCN
2016-00016976,03/23/2016 10:21:00 AM,SEVENTH ST / ASHBY AVE,T,"TOW, BM3TCN"
2016-00016980,03/23/2016 10:57:00 AM,ASHBY AVE / SAN PABLO AVE,T,WM4TCN
2016-00016982,03/23/2016 11:03:00 AM,SAN PABLO AVE / MURRAY ST,T,WF2TCN
2016-00016984,03/23/2016 11:07:00 AM,SAN PABLO AVE / BURNETT ST,T,OM4TCN
2016-00016985,03/23/2016 11:10:00 AM,BENVENUE AVE / RUSSELL ST,T,BM2TWN
2016-00016991,03/23/2016 11:29:00 AM,M L KING JR WAY / ADELINE ST,T,HF4TCN
2016-00016993,03/23/2016 11:41:00 AM,M L KING JR WAY / ADELINE ST,T,WM2TCN
2016-00017000,03/23/2016 12:04:00 PM,ASHBY AVE / SAN PABLO AVE,T,WF4TCN
2016-00017001,03/23/2016 12:06:00 PM,FULTON ST / BANCROFT WAY,T,WM3TCN
2016-00017004,03/23/2016 12:19:00 PM,CENTER ST / SHATTUCK AVE,T,OF4TCN
2016-00017008,03/23/2016 12:27:00 PM,MILVIA ST / CHANNING WAY,T,WM4TCN
2016-00017011,03/23/2016 12:41:00 PM,UNIVERSITY AVE / W FRONTAGE RD,T,OM3TCN
2016-00017019,03/23/2016 12:51:00 PM,UNIVERSITY AVE / TENTH ST,T,BM4TCN
2016-00017020,03/23/2016 12:52:00 PM,37.865760677~-122.304312476,T,HM4TCN
2016-00017021,03/23/2016 12:56:00 PM,TELEGRAPH AVE / BLAKE ST,T,WM2TWN
2016-00017023,03/23/2016 01:00:00 PM,M L KING JR WAY / HASTE ST,T,HM3TWN
2016-00017024,03/23/2016 01:02:00 PM,GILMAN ST / EIGHTH ST,T,WM2TCN
2016-00017027,03/23/2016 01:08:00 PM,1500 BLOCK SHATTUCK AVE,T,AM4TWN
2016-00017029,03/23/2016 01:13:00 PM,HAZEL RD / DOMINGO AVE,T,WF4TCN
2016-00017031,03/23/2016 01:19:00 PM,DWIGHT WAY / SEVENTH ST,T,WM4TCN
2016-00017032,03/23/2016 01:25:00 PM,SACRAMENTO ST / BLAKE ST,T,"WM1TWS, AF1IAN"
2016-00017040,03/23/2016 02:19:00 PM,UNIVERSITY AVE / SIXTH ST,T,HM2TCN
2016-00017041,03/23/2016 02:36:00 PM,UNIVERSITY AVE / SEVENTH ST,T,HM3TCN
2016-00017047,03/23/2016 03:02:00 PM,UNIVERSITY AVE / NINTH ST,T,BM3TCN
2016-00017060,03/23/2016 04:41:00 PM,ASHBY AVE / COLLEGE AVE,T,HM2TCS
2016-00017061,03/23/2016 04:50:00 PM,SHATTUCK AVE / VINE ST,1194,WM2IWN
2016-00017063,03/23/2016 04:54:00 PM,MONTEREY AVE / COLUSA AVE,T,WM4TWS
2016-00017069,03/23/2016 05:28:00 PM,1200 BLOCK MONTEREY AVE,T,WM2TWN
2016-00017073,03/23/2016 05:48:00 PM,ADELINE ST / WOOLSEY ST,T,BF3TWN
2016-00017079,03/23/2016 06:15:00 PM,SACRAMENTO ST / TYLER ST,T,OF3TCN
2016-00017084,03/23/2016 06:37:00 PM,MONTEREY AVE / COLUSA AVE,T,WM4TWN
2016-00017086,03/23/2016 06:43:00 PM,MONTEREY AVE / SONOMA AVE,T,WF4TWN
2016-00017090,03/23/2016 07:40:00 PM,LOS ANGELES AVE / SHATTUCK AVE,T,WM4TWN
2016-00017092,03/23/2016 07:46:00 PM,SHATTUCK AVE / HEARST AVE,T,OM4TWN
2016-00017094,03/23/2016 07:47:00 PM,WARD ST / SACRAMENTO ST,T,BM3TWN
2016-00017096,03/23/2016 07:58:00 PM,CHANNING WAY / SACRAMENTO ST,T,WM2TWN
2016-00017098,03/23/2016 08:10:00 PM,DURANT AVE / FULTON ST,T,WM4TWN
2016-00017100,03/23/2016 08:13:00 PM,HASTE ST / ELLSWORTH ST,T,BF3TCN
2016-00017101,03/23/2016 08:43:00 PM,STUART/COLLEGE,T,WM2TCN
2016-00017109,03/23/2016 09:07:00 PM,BERKELEY WAY / SHATTUCK AVE,T,OM4TCN
2016-00017116,03/23/2016 09:32:00 PM,ASH/SP,T,M
2016-00017123,03/23/2016 10:27:00 PM,DURANT/OXFORD,T,BF3TWN
2016-00017124,03/23/2016 10:28:00 PM,SHATTUCK ST/VINE ST,1194,"WM4IWN, BM3IWN"
2016-00017133,03/23/2016 11:20:00 PM,SACRAMENTO ST / UNIVERSITY AVE,T,WM3TWN
2016-00017135,03/23/2016 11:45:00 PM,SAN PABLO AVE / ASHBY AVE,T,M
2016-00017136,03/23/2016 11:51:00 PM,COLLEGE AVE / RUSSELL ST,1194,WF4ICN
2016-00017141,03/24/2016 12:13:00 AM,UNIVERSITY AVE / BONITA AVE,T,M
2016-00017142,03/24/2016 12:17:00 AM,JEFFERSON AVE / CHANNING WAY,T,WM3TWN
2016-00017143,03/24/2016 12:30:00 AM,UNIVERSITY AVE / SACRAMENTO ST,T,WF3TWN
2016-00017144,03/24/2016 12:34:00 AM,UNIVERSITY AVE / SEVENTH ST,1194B,
2016-00017145,03/24/2016 12:42:00 AM,HEARST AVE / SACRAMENTO ST,1194,M
2016-00017147,03/24/2016 12:54:00 AM,IDAHO ST / ALCATRAZ AVE,T,OM2TCS
2016-00017148,03/24/2016 12:56:00 AM,UNIVESITY AVE/BONAR ST,1194,M
2016-00017149,03/24/2016 12:59:00 AM,SHATTUCK AVE / DERBY ST,T,WF4TWN
2016-00017150,03/24/2016 01:10:00 AM,CENTER ST / MILVIA ST,T,BF2TWN
2016-00017153,03/24/2016 01:28:00 AM,UNIVERSITY AVE / CALIFORNIA ST,T,HM2TWN
2016-00017154,03/24/2016 01:39:00 AM,SHATTUCK AVE / ALLSTON WAY,T,BM2TCN
2016-00017157,03/24/2016 01:49:00 AM,37.8693028530001~-122.272234021,1194,M
2016-00017158,03/24/2016 01:55:00 AM,UNIVERSITY AVE / M L KING JR WAY,T,HM4TWN
2016-00017161,03/24/2016 02:10:00 AM,6TH ST/UNIVERSITY AVE,T,BM2TWS
2016-00017162,03/24/2016 02:27:00 AM,ADDISON ST / EIGHTH ST,T,M
2016-00017164,03/24/2016 02:46:00 AM,6TH ST/UNIVERSITY AVE,T,M
2016-00017165,03/24/2016 02:47:00 AM,STUART ST / TELEGRAPH AVE,T,WM2TWS
2016-00017168,03/24/2016 03:07:00 AM,FULTON ST / HASTE ST,1194,"BM3TAS, P"
2016-00017169,03/24/2016 03:21:00 AM,SOLANO AVE / CONTRA COSTA AVE,T,"WF2TWN, WM3TWS"
2016-00017172,03/24/2016 07:00:00 AM,COLLEGE AVE / RUSSELL ST,1194B,WM3TWN
2016-00017176,03/24/2016 08:04:00 AM,SACRAMENTO ST / JULIA ST,T,BM4TWN
2016-00017211,03/24/2016 11:39:00 AM,TELEGRAPH AVE / 59TH ST,T,AM4TCN
2016-00017214,03/24/2016 11:55:00 AM,2100 BLOCK SHATTUCK AVE,1194,WM3RCN
2016-00017215,03/24/2016 12:04:00 PM,WARD ST / M L KING JR WAY,T,HM2TWS
2016-00017217,03/24/2016 12:10:00 PM,37.8693028530001~-122.272234021,1194,BM4RCN
2016-00017220,03/24/2016 12:22:00 PM,UNIVERSITY AVE / SIXTH ST,T,BF3TCN
2016-00017221,03/24/2016 12:34:00 PM,UNIVERSITY AVE / SIXTH ST,T,OM3TCN
2016-00017224,03/24/2016 12:46:00 PM,37.8680172840001~-122.303776422,T,WF4TCN
2016-00017228,03/24/2016 01:03:00 PM,SIXTH ST / UNIVERSITY AVE,T,BM4TCN
2016-00017230,03/24/2016 01:13:00 PM,W FRONTAGE RD / UNIVERSITY AVE,T,BF3TCN
2016-00017234,03/24/2016 01:29:00 PM,UNIVERSITY AVE / FIFTH ST,T,WM4TCN
2016-00017247,03/24/2016 02:30:00 PM,ASH/CLARE,T,WM4TCN
2016-00017249,03/24/2016 02:50:00 PM,W FRONTAGE RD / UNIVERSITY AVE,T,BF3RCN
2016-00017333,03/24/2016 11:46:00 PM,FAIRVIEW ST / ELLIS ST,1194,WM4IWN
2016-00017339,03/25/2016 01:13:00 AM,TELEGRAPH AVE / HASTE ST,1194,"WM4IWN, WF3IWN, WM3IWN, WF2IWN, WM2IAS, P"
2016-00017340,03/25/2016 01:50:00 AM,ELLIS ST / PRINCE ST,T,BM2TWN
2016-00017341,03/25/2016 01:54:00 AM,OXFORD ST / KITTREDGE ST,T,M
2016-00017342,03/25/2016 02:08:00 AM,SACRAMENTO ST / WARD ST,T,WF2TWN
2016-00017344,03/25/2016 02:18:00 AM,GILMAN ST / SECOND ST,T,WM4TCS
2016-00017347,03/25/2016 03:02:00 AM,HARPER ST / PRINCE ST,1196,TOW
2016-00017348,03/25/2016 03:05:00 AM,RUSSELL ST / CALIFORNIA ST,1196,BM2TCS
2016-00017349,03/25/2016 03:27:00 AM,M L KING JR WAY / ALLSTON WAY,1194B,BM4TWS
2016-00017351,03/25/2016 03:39:00 AM,SHATTUCK AVE / BANCROFT WAY,T,WM4TWN
2016-00017354,03/25/2016 04:39:00 AM,HEARST AVE / FIFTH ST,1194,AM4IWN
2016-00017356,03/25/2016 05:06:00 AM,TENTH ST / JONES ST,1194,MH
2016-00017358,03/25/2016 05:46:00 AM,1300 BLOCK ASHBY AVE,T,BM4TWN
2016-00017359,03/25/2016 06:00:00 AM,HASTE ST / SHATTUCK AVE,T,WM4TWN
2016-00017360,03/25/2016 06:42:00 AM,ALLSTON WAY / SHATTUCK AVE,T,HF4TCN
2016-00017368,03/25/2016 08:11:00 AM,MONTEREY AVE / FRESNO AVE,T,WM4TCN
2016-00017371,03/25/2016 08:37:00 AM,HOPKINS ST / ACTON ST,1194B,"WM4TWN, M"
2016-00017372,03/25/2016 08:38:00 AM,CLAREMONT AVE / ASHBY AVE,T,WM4TCN
2016-00017377,03/25/2016 09:02:00 AM,RUSSELL ST / CLAREMONT AVE,T,AF1IWS
2016-00017384,03/25/2016 09:46:00 AM,BLAKE ST / MILVIA ST,T,BF4TCN
2016-00017385,03/25/2016 09:48:00 AM,UNIVERSITY AVE / SAN PABLO AVE,T,HM2TCN
2016-00017389,03/25/2016 10:34:00 AM,UNIVERSITY AVE / W FRONTAGE RD,T,AF1IWN
